word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
preferences,2,3.0,2,3.0,2.0,1.0
bosnia,2,3.0,10,6.0,,1.0
herzegovina,2,3.0,10,6.0,,
advertising,1,,3,,2.0,1.0
