word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
generation,1.0,1,,,3,
cells,3.0,8,3.0,10.0,14,
mouse,,2,2.0,7.0,2,2.0
liver,5.0,1,5.0,22.0,3,5.0
gene,6.0,10,3.0,17.0,6,1.0
transfer,2.0,2,1.0,15.0,1,1.0
mafa,4.0,11,3.0,7.0,7,2.0
mafb,4.0,11,3.0,6.0,9,3.0
role,2.0,1,,,1,
cell,2.0,4,,1.0,2,
conversion,,1,,,2,
