word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
gene,2.0,5.0,7.0,32,10.0,
therapy,1.0,3.0,2.0,6,2.0,
inhibits,,,,4,,
vivo,1.0,2.0,2.0,5,4.0,
smad7,2.0,3.0,8.0,25,9.0,
