word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
value,4,2,3.0,10.0,7.0,1.0
expression,4,3,2.0,19.0,11.0,1.0
level,4,3,3.0,17.0,11.0,1.0
leukemia,1,2,,,,
patients,7,5,3.0,33.0,16.0,1.0
meta-analysis,4,1,,11.0,13.0,1.0
cd11b,8,8,4.0,34.0,19.0,1.0
aml,6,9,2.0,25.0,13.0,1.0
