word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
exposure,4.0,6.0,,17,14.0,2.0
induces,,,,7,2.0,2.0
instability,,1.0,,4,5.0,1.0
cells,,6.0,14.0,19,10.0,1.0
dysfunction,,,,2,,
lead,1.0,6.0,1.0,9,9.0,2.0
