word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
ornithomimid,,3.0,4.0,12.0,2.0,
dinosauria,,,,,,
cretaceous,,3.0,,,,
alberta,,3.0,,,,
implications,,,,1.0,,
behavior,3.0,,,1.0,,
classification,,,,2.0,,
stratigraphy,,,,,,
ornithomimids,2.0,1.0,7.0,6.0,,
bonebed,2.0,7.0,3.0,16.0,4.0,
