word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
commonality,,,,,,
loss,2.0,1.0,4.0,1.0,1.0,7.0
aversion,2.0,2.0,1.0,1.0,1.0,5.0
procedures,,,4.0,,,
stimuli,3.0,5.0,,,4.0,
preference,3.0,3.0,,,1.0,
prospect,1.0,1.0,,,1.0,
theory,3.0,6.0,,,4.0,
