word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
construction,,,2.0,1.0,1.0,
hvt,9.0,4.0,17.0,33.0,16.0,3.0
pmpd,1.0,5.0,,,2.0,
evaluation,,,,1.0,,
chlamydia,2.0,2.0,,1.0,2.0,
psittaci,6.0,9.0,11.0,6.0,10.0,2.0
marek,3.0,1.0,,,1.0,
disease,3.0,3.0,,,2.0,
vaccine,6.0,9.0,1.0,3.0,25.0,
protection,1.0,4.0,,6.0,9.0,
