word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
congo,6.0,1,2,2.0,1.0,
interactions,,2,1,,,
coli,5.0,6,7,1.0,2.0,
curli,4.0,17,61,14.0,6.0,
fibers,2.0,11,24,1.0,2.0,
