word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
trichostatin,1,1,1.0,4,,
expression,8,11,2.0,30,3.0,1.0
signature,4,1,,7,1.0,
tempo-seq,5,8,6.0,43,7.0,3.0
transcriptome,2,8,5.0,13,5.0,1.0
profile,2,1,,3,1.0,
