word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
patterns,5.0,3,8.0,4.0,9.0,1.0
species,7.0,25,89.0,24.0,33.0,12.0
groups,3.0,13,9.0,4.0,18.0,3.0
mammals,1.0,3,1.0,1.0,3.0,
networks,,2,11.0,10.0,14.0,
east,1.0,2,,,1.0,
africa,,1,,,,
