word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
balance,6.0,2.0,1.0,6.0,11.0,
hemagglutinin,6.0,1.0,,1.0,,1.0
neuraminidase,5.0,1.0,1.0,1.0,,
influenza,1.0,4.0,11.0,4.0,4.0,
h1n1,2.0,2.0,5.0,,,
pdm09,2.0,1.0,,,,
d222,3.0,1.0,1.0,4.0,2.0,
variants,6.0,,,4.0,,
h1n1pdm,,5.0,5.0,10.0,,1.0
