word,abstract_counts,section_1_counts,section_2_counts,section_3_counts,section_4_counts,section_5_counts
turtle,2,2,,,5,
species,7,25,4.0,2.0,18,
pelusios,1,8,8.0,4.0,2,1.0
seychellensis,4,16,4.0,3.0,17,
