File_csv,abstract_avg,section_1_avg,section_2_avg,section_3_avg,section_4_avg,section_5_avg,Cluster
journal.pone.0199543.csv,1.25,5.25,4.0,2.5,7.375,0.0,0
journal.pone.0135871.csv,0.4,3.0,2.0,3.0,1.2,0.2,1
journal.pone.0041100.csv,0.8571428571428571,3.142857142857143,1.1428571428571428,0.42857142857142855,4.714285714285714,0.2857142857142857,1
journal.pone.0222345.csv,2.7142857142857144,3.7142857142857144,15.0,12.571428571428571,13.714285714285714,1.1428571428571428,0
journal.pone.0061944.csv,2.375,3.75,0.375,12.375,8.0,0.0,0
journal.pone.0053060.csv,1.25,4.75,1.25,0.0,1.25,2.25,0
journal.pone.0161978.csv,2.2,3.6,1.8,7.0,2.8,2.0,1
journal.pone.0085354.csv,2.0,4.428571428571429,2.857142857142857,22.571428571428573,6.428571428571429,0.0,0
journal.pone.0142192.csv,2.0,2.0,1.25,3.0,5.0,0.0,1
journal.pone.0153921.csv,2.75,2.125,1.375,6.125,5.875,1.375,1
journal.pone.0112799.csv,2.857142857142857,5.142857142857143,18.571428571428573,10.571428571428571,4.142857142857143,1.2857142857142858,0
journal.pone.0010763.csv,4.142857142857143,8.0,3.0,26.285714285714285,17.571428571428573,0.0,3
journal.pone.0010777.csv,1.6666666666666667,2.0,3.0,4.833333333333333,1.3333333333333333,0.0,1
journal.pone.0145010.csv,3.1666666666666665,5.166666666666667,0.3333333333333333,10.0,6.666666666666667,0.0,0
journal.pone.0139440.csv,4.125,5.75,12.625,8.875,12.375,1.25,0
journal.pone.0173207.csv,1.2857142857142858,4.428571428571429,1.8571428571428572,5.857142857142857,3.0,0.42857142857142855,0
journal.pone.0020893.csv,1.2727272727272727,1.2727272727272727,7.636363636363637,4.7272727272727275,1.4545454545454546,0.2727272727272727,1
journal.pone.0040356.csv,2.5714285714285716,1.8571428571428572,5.714285714285714,9.571428571428571,5.285714285714286,1.1428571428571428,1
journal.pone.0193126.csv,1.0833333333333333,2.5,8.083333333333334,3.6666666666666665,2.0833333333333335,1.25,1
journal.pone.0020307.csv,3.3636363636363638,5.2727272727272725,4.363636363636363,13.636363636363637,5.363636363636363,0.0,0
journal.pone.0165101.csv,1.1428571428571428,3.142857142857143,6.571428571428571,16.428571428571427,6.714285714285714,2.857142857142857,1
journal.pone.0133420.csv,1.8333333333333333,2.75,1.4166666666666667,5.0,8.25,0.08333333333333333,1
journal.pone.0128014.csv,1.4285714285714286,3.9285714285714284,2.0714285714285716,8.714285714285714,3.7857142857142856,0.42857142857142855,1
journal.pone.0064236.csv,2.25,1.75,8.875,1.75,0.625,0.0,1
journal.pone.0098099.csv,2.8181818181818183,3.727272727272727,3.3636363636363638,4.2727272727272725,7.363636363636363,0.0,0
journal.pone.0171808.csv,2.6666666666666665,5.666666666666667,6.0,6.666666666666667,8.833333333333334,0.6666666666666666,0
journal.pone.0185745.csv,3.625,6.375,4.625,22.75,2.0,0.0,0
journal.pone.0076829.csv,2.0,8.6,2.2,13.4,9.8,2.2,3
journal.pone.0067501.csv,0.8333333333333334,3.1666666666666665,2.5,9.666666666666666,6.666666666666667,1.3333333333333333,1
journal.pone.0056904.csv,1.75,4.0,2.875,10.125,7.0,1.0,0
journal.pone.0171411.csv,8.333333333333334,14.666666666666666,10.333333333333334,23.333333333333332,15.833333333333334,0.3333333333333333,3
journal.pone.0057398.csv,2.4285714285714284,2.4285714285714284,1.1428571428571428,5.0,5.0,0.0,1
journal.pone.0126213.csv,2.75,6.25,0.25,6.5,6.0,0.5,0
journal.pone.0023419.csv,1.1428571428571428,1.4285714285714286,2.142857142857143,6.142857142857143,1.5714285714285714,0.0,1
journal.pone.0195973.csv,2.625,27.25,9.75,24.625,21.0,0.0,4
journal.pone.0154691.csv,4.2,2.3,4.6,5.7,6.1,0.0,1
journal.pone.0056079.csv,2.7142857142857144,5.142857142857143,11.0,4.285714285714286,9.0,0.5714285714285714,0
journal.pone.0053115.csv,1.2,3.8,4.6,0.0,0.0,0.0,1
journal.pone.0182200.csv,2.3333333333333335,7.0,4.666666666666667,3.6666666666666665,6.833333333333333,1.1666666666666667,0
journal.pone.0142742.csv,1.3333333333333333,4.166666666666667,4.333333333333333,3.0,2.3333333333333335,2.0,0
journal.pone.0022129.csv,5.333333333333333,4.333333333333333,4.333333333333333,37.333333333333336,6.333333333333333,3.3333333333333335,0
journal.pone.0137242.csv,2.0,7.111111111111111,10.0,4.777777777777778,8.777777777777779,0.1111111111111111,0
journal.pone.0064626.csv,3.875,4.375,7.0,8.25,9.75,0.0,0
journal.pone.0060454.csv,1.0,1.25,0.0,1.5,1.5,0.5,1
journal.pone.0116267.csv,0.0,1.5,0.0,0.0,0.0,0.0,1
journal.pone.0013690.csv,3.1,6.7,1.2,15.9,17.0,0.9,0
journal.pone.0071015.csv,5.333333333333333,5.5,0.6666666666666666,25.0,13.166666666666666,2.5,0
journal.pone.0178031.csv,0.0,0.5,1.0,0.5,0.5,0.0,1
journal.pone.0148694.csv,2.0,1.0,1.8,1.4,4.0,0.6,1
journal.pone.0169114.csv,3.25,2.0,10.25,7.0,6.25,0.25,1
journal.pone.0044092.csv,1.5,2.75,3.75,2.5,0.375,2.375,1
journal.pone.0053505.csv,1.8,4.4,1.0,6.2,5.7,0.0,0
journal.pone.0101519.csv,3.0714285714285716,2.142857142857143,2.5,8.785714285714286,5.642857142857143,0.0,1
journal.pone.0147558.csv,3.0,9.2,6.2,2.2,10.6,0.4,3
